source_file,total_lines,parsed_rows,parse_error_rows,hard_violation_rows,violation_records,zero_volume_rows,first_timestamp,last_timestamp,min_volume,max_volume,rule_count__schema_field_count,rule_count__parse_error_timestamp,rule_count__parse_error_numeric,rule_count__null_value,rule_count__non_finite_value,rule_count__nonpositive_price,rule_count__negative_volume,rule_count__ohlc_incoherent,rule_count__tick_grid_violation,rule_count__duplicate_timestamp_within_file,rule_count__timestamp_out_of_order,rule_count__duplicate_exact_row
00_mnq_03_20.Last.txt,81660,81660,0,0,0,0,2019-12-23 03:01:00,2020-03-20 13:30:00,1,14965,0,0,0,0,0,0,0,0,0,0,0,0
01_mnq_06_20.Last.txt,86069,86069,0,0,0,0,2020-03-23 03:01:00,2020-06-19 13:30:00,1,8553,0,0,0,0,0,0,0,0,0,0,0,0
02_mnq_09_20.Last.txt,87482,87482,0,0,0,0,2020-06-22 03:01:00,2020-09-18 13:30:00,1,10725,0,0,0,0,0,0,0,0,0,0,0,0
03_mnq_12_20.Last.txt,86824,86824,0,0,0,0,2020-09-21 03:01:00,2020-12-18 03:00:00,1,16309,0,0,0,0,0,0,0,0,0,0,0,0
04_mnq_03_21.Last.txt,84599,84599,0,0,0,0,2020-12-21 03:01:00,2021-03-19 13:30:00,1,15756,0,0,0,0,0,0,0,0,0,0,0,0
05_mnq_06_21.Last.txt,87090,87090,0,0,0,0,2021-03-22 03:01:00,2021-06-18 13:30:00,1,15023,0,0,0,0,0,0,0,0,0,0,0,0
06_mnq_09_21.Last.txt,88205,88205,0,0,0,0,2021-06-21 03:01:00,2021-09-17 13:30:00,1,13455,0,0,0,0,0,0,0,0,0,0,0,0
07_mnq_12_21.Last.txt,88318,88318,0,0,0,0,2021-09-20 03:01:00,2021-12-17 14:30:00,1,16898,0,0,0,0,0,0,0,0,0,0,0,0
08_mnq_03_22.Last.txt,87112,87112,0,0,0,0,2021-12-20 03:01:00,2022-03-18 13:30:00,1,21466,0,0,0,0,0,0,0,0,0,0,0,0
09_mnq_06_22.Last.txt,87336,87336,0,0,0,0,2022-03-21 03:01:00,2022-06-17 13:30:00,1,14805,0,0,0,0,0,0,0,0,0,0,0,0
10_mnq_09_22.Last.txt,88207,88207,0,0,0,0,2022-06-20 03:01:00,2022-09-16 13:55:00,1,17182,0,0,0,0,0,0,0,0,0,0,0,0
11_mnq_12_22.Last.txt,87830,87830,0,0,0,0,2022-09-19 03:01:00,2022-12-16 14:30:00,1,20169,0,0,0,0,0,0,0,0,0,0,0,0
12_mnq_03_23.Last.txt,85736,85736,0,0,0,0,2022-12-19 03:01:00,2023-03-17 13:30:00,1,15437,0,0,0,0,0,0,0,0,0,0,0,0
13_mnq_06_23.Last.txt,87931,87931,0,0,0,0,2023-03-20 03:01:00,2023-06-16 13:30:00,1,16638,0,0,0,0,0,0,0,0,0,0,0,0
14_mnq_09_23.Last.txt,88002,88002,0,0,0,0,2023-06-19 03:01:00,2023-09-15 13:30:00,1,15352,0,0,0,0,0,0,0,0,0,0,0,0
15_mnq_12_23.Last.txt,88448,88448,0,0,0,0,2023-09-18 03:01:00,2023-12-15 14:30:00,1,16805,0,0,0,0,0,0,0,0,0,0,0,0
16_mnq_03_24.Last.txt,85777,85777,0,0,0,0,2023-12-18 03:01:00,2024-03-15 13:30:00,1,18431,0,0,0,0,0,0,0,0,0,0,0,0
17_mnq_06_24.Last.txt,93916,93916,0,0,0,0,2024-03-18 03:01:00,2024-06-21 13:30:00,1,21032,0,0,0,0,0,0,0,0,0,0,0,0
18_mnq_09_24.Last.txt,88216,88216,0,0,0,0,2024-06-24 03:01:00,2024-09-21 01:19:00,1,20927,0,0,0,0,0,0,0,0,0,0,0,0
19_mnq_12_24.Last.txt,88498,88498,0,0,0,0,2024-09-23 03:01:00,2024-12-20 21:30:00,1,18077,0,0,0,0,0,0,0,0,0,0,0,0
20_mnq_03_25.Last.txt,93219,93219,0,0,0,0,2024-12-12 03:01:00,2025-03-22 15:03:00,1,21838,0,0,0,0,0,0,0,0,0,0,0,0
21_mnq_06_25.Last.txt,96755,96755,0,0,0,0,2025-03-13 03:01:00,2025-06-22 13:53:00,1,24441,0,0,0,0,0,0,0,0,0,0,0,0
